id_empleado;edad;genero;departamento;antiguedad_empresa;nivel_educativo;sector;frecuencia_uso_ia;herramienta_principal;prefiere_humano_vs_ia;AT1_rendimiento;AT2_facilita_aprendizaje;AT3_facilidad_uso;AT4_integracion_positiva;AE1_resolver_problemas;AE2_confianza_digital;AE3_uso_eficaz;AE4_seguridad_aplicacion;M1_estimulante;M2_aumenta_interes;M3_aporta_valor;M4_mayor_esfuerzo;E1_adaptacion;E2_feedback_util;E3_aplicable_trabajo;E4_aprendizaje_ritmo;D1_mejora_competencias;D2_preparado_retos;D3_amplia_habilidades;D4_aprendizaje_autonomo;C1_confio_sin_verificar;C2_dificil_sin_ia;C3_pensamiento_critico;C4_reflexiono_calidad;open_positive_experience;open_difficulties_and_training_needs;usa_chatgpt;usa_gemini;usa_copilot;usa_lms_ia;usa_otra_ia;survey_completed_at
11;32;Hombre;Operaciones / Producción;2;Máster;Otro;3;ChatGPT;6;5;5;5;5;5;5;6;5;6;5;4;4;5;5;6;5;6;5;5;5;4;2;7;7;Encontrar información para después contrastar de manera más rápida ;Desinformación, información no contrastado respuesta de un motor de búsqueda ;True;True;True;False;True;2026-04-15T09:00:10
12;39;Hombre;Tecnología / IT;2;Máster;Consultoría;3;Copilot;5;3;3;5;5;4;7;3;3;3;5;5;4;5;4;5;4;7;4;4;4;7;6;5;5;una herramienta que te acompaña en la formación como guía.;Generar dependencia ;False;False;True;True;False;2026-04-15T09:00:11
13;40;Mujer;Recursos Humanos;6;Doctorado;Servicios;5;ChatGPT;6;5;4;5;4;6;5;4;4;6;5;4;5;7;5;5;5;7;5;5;7;7;7;7;7;Ayuda en el trabajo;Alucinaciones que puede general la IA ;True;True;True;True;False;2026-04-15T09:00:12
14;30;Mujer;Operaciones / Producción;4;Máster;Consultoría;5;ChatGPT;4;5;4;5;5;6;5;4;4;7;6;6;6;5;6;6;6;3;4;4;4;6;6;5;5;Buenos ;Dependencia ;True;False;False;False;False;2026-04-15T09:00:13
15;50;Hombre;Profesional independiente / Freelance;6;Grado;Industria;4;ChatGPT;7;6;5;5;5;6;5;6;6;6;5;5;5;5;5;6;6;5;5;6;6;6;5;5;5;Me ayuda como herramienta de aprendizaje eficaz.;ninguno ;True;True;True;True;False;2026-04-15T09:00:14
16;54;Hombre;Educación / Investigación;6;Doctorado;Sanidad;4;Copilot;6;5;6;6;6;5;5;4;6;6;5;6;5;7;6;6;6;6;6;5;5;7;6;6;6;Eficaz como herramienta de apoyo ;Ninguno ;True;True;False;True;False;2026-04-15T09:00:15
17;25;Mujer;Educación / Investigación;6;Grado;Industria;3;ChatGPT;6;5;4;4;5;7;6;4;4;6;5;6;5;5;4;5;6;7;5;5;5;7;5;5;6;Ahorra tiempo en tareas repetitivas;Posible información incorrecta;False;False;False;True;False;2026-04-15T09:00:16
18;20;Mujer;Comercial / Ventas / Marketing;0;Grado;Servicios;5;Copilot;3;6;4;5;6;6;6;7;7;6;5;7;4;6;6;7;6;6;7;5;5;7;3;6;7;Facilita la comprensión de temas complejos;Respuestas poco fiables;True;True;True;True;False;2026-04-15T09:00:17
19;35;Mujer;Dirección / Gestión;2;Máster;Industria;4;LMS con IA;7;5;3;6;4;6;5;5;6;6;5;5;5;5;6;6;6;7;5;6;6;5;4;4;5;Ofrece explicaciones personalizadas;Falta de pensamiento crítico;False;True;False;False;True;2026-04-15T09:00:18
20;19;Mujer;Recursos Humanos;0;Grado;Sanidad;5;Copilot;3;6;7;7;6;6;7;6;7;6;7;6;6;5;7;5;7;7;5;6;7;7;5;6;5;Permite aprender a mi propio ritmo;Dependencia excesiva de la herramienta;True;True;True;True;False;2026-04-15T09:00:19
21;37;Hombre;Educación / Investigación;4;Máster;Sanidad;2;No utilizo IA;7;2;3;2;3;2;3;2;2;1;2;2;2;2;2;3;3;2;2;1;1;3;2;2;2;ninguno ;Riesgo de plagio académico;False;False;False;False;False;2026-04-15T09:00:20
22;50;Hombre;Tecnología / IT;6;Doctorado;Tecnología;5;Copilot;7;6;6;7;7;6;7;7;7;5;6;6;7;6;7;6;6;7;6;7;6;2;6;7;7;Ayuda a generar ideas rápidamente;Uso poco ético por parte del alumnado;True;True;True;True;False;2026-04-15T09:00:21
23;67;Mujer;Comercial / Ventas / Marketing;6;Formación Profesional;Otro;3;No utilizo IA;5;6;5;3;5;6;5;3;5;4;4;5;4;4;5;5;5;5;4;4;4;1;5;5;5;Puedo ahorrar mucho tiempo utilizando AI en varios procesos de trabajo pero pienso que siempre tengo que revisar los resultados.;No se puede fiarse 100% de IA actual por lo que siempre hace falta revision humana.;True;False;False;False;False;2026-04-15T09:00:22
24;33;Hombre;Tecnología / IT;6;Doctorado;Servicios;5;Copilot;7;5;5;7;7;6;5;5;6;5;5;6;6;7;6;5;5;7;6;7;7;5;6;6;6;Proporciona ejemplos prácticos;Pérdida de habilidades de investigación;False;True;True;False;False;2026-04-15T09:00:23
25;43;Hombre;Formación y Desarrollo;6;Doctorado;Industria;3;Gemini;6;5;5;4;4;5;3;3;3;5;6;5;5;7;5;5;5;5;6;6;6;5;4;4;4;Refuerza conocimientos previos;Reducción del esfuerzo personal;False;True;True;False;False;2026-04-15T09:00:24
26;53;Mujer;Consultoría;6;Doctorado;Educación;3;Copilot;7;7;2;6;6;4;6;6;3;3;2;6;2;5;4;5;5;2;4;1;2;1;1;6;6;Eficiencia;Errores, falta de desarrollo cognitivo y pensamiento crítico ;True;False;False;False;False;2026-04-15T09:00:25
27;55;Hombre;Profesional independiente / Freelance;6;Grado;Consultoría;4;ChatGPT;4;7;7;6;4;5;7;6;6;5;5;7;2;6;6;6;6;5;7;5;6;3;2;7;7;Rapidez para generar casos de análisis en formaciones para empresas ;Creerse lo que dice sin tener pensamiento crítico o acudor a otras fuentes ;True;False;False;False;False;2026-04-15T09:00:26
28;54;Hombre;Dirección / Gestión;6;Doctorado;Banca / Finanzas;4;Copilot;5;6;4;6;7;6;5;6;6;5;6;6;6;7;6;6;6;5;6;6;6;6;6;6;7;Permite aprender más rápido.;Posible dependencia de la tecnología;True;False;True;True;False;2026-04-15T09:00:27
29;20;Hombre;Profesional independiente / Freelance;2;Formación Profesional;Tecnología;5;Copilot;6;5;6;6;6;7;6;6;7;6;7;7;7;5;6;6;6;5;6;7;6;7;6;6;6;Facilita el acceso a información actualizada.;Información incorrecta o imprecisa.;False;True;True;True;False;2026-04-15T09:00:28
30;26;Mujer;Otro;2;Máster;Industria;5;Otra;6;7;6;5;5;5;6;6;6;7;6;6;6;7;7;6;6;5;6;6;6;7;6;7;6;Ayuda a resolver dudas al instante.;Falta de pensamiento crítico.;False;False;False;True;True;2026-04-15T09:00:29
31;24;No binario;Comercial / Ventas / Marketing;4;Máster;Consultoría;5;LMS con IA;3;6;5;7;5;6;7;6;6;6;7;7;7;5;5;6;6;7;6;5;5;6;5;7;6;Mejora la comprensión de temas complejos.;Riesgo de plagio en trabajos.;False;True;False;True;False;2026-04-15T09:00:30
32;44;Hombre;Recursos Humanos;6;Doctorado;Consultoría;5;LMS con IA;6;6;5;7;6;5;6;6;6;7;5;7;6;7;6;6;6;7;6;5;5;7;6;5;5;Permite estudiar de forma más personalizada.;Uso excesivo sin comprensión real.;False;True;True;True;True;2026-04-15T09:00:31
33;32;Hombre;Educación / Investigación;6;Máster;Educación;2;ChatGPT;7;3;4;4;5;4;5;5;5;6;5;5;5;6;5;5;5;6;5;5;5;5;4;6;4;Me ayuda bastante cuando no entiendo algo y necesito que me lo expliquen de otra forma.;A veces la información que da puede no ser del todo correcta.;True;False;False;False;False;2026-04-15T09:00:32
34;37;Mujer;Profesional independiente / Freelance;6;Máster;Administración pública;4;LMS con IA;7;5;6;5;6;7;6;5;5;4;6;6;6;5;6;7;6;7;6;5;5;5;6;6;5;Es útil para resolver dudas rápidas cuando estoy estudiando.;Algunos estudiantes pueden usarla para copiar trabajos.;True;True;True;True;True;2026-04-15T09:00:33
35;50;Hombre;Dirección / Gestión;6;Máster;Comercio / Retail;5;Gemini;7;6;5;4;5;7;5;6;6;6;5;6;6;5;6;6;6;5;6;6;6;2;2;7;7;Me permite actualizar conocimientos de forma rápida.;Debe utilizarse como apoyo, no como sustituto del conocimiento profesional.;False;True;False;False;False;2026-04-15T09:00:34
36;35;Hombre;Dirección / Gestión;6;Doctorado;Tecnología;3;Gemini;4;5;4;4;4;4;3;3;3;6;5;4;5;7;4;4;7;6;5;6;6;1;4;5;5;Bien utilizada, puede ser una herramienta muy útil para el desarrollo profesional.;Es necesario establecer normas claras de uso en la empresa.;False;True;False;False;True;2026-04-15T09:00:35
37;56;Mujer;Operaciones / Producción;6;Máster;Industria;4;LMS con IA;7;5;6;5;5;5;6;6;6;5;6;6;6;5;6;6;6;5;6;5;5;5;6;5;5;Me ayuda a aclarar dudas cuando estoy aprendiendo algo nuevo en el trabajo.;A veces la información que da no es del todo fiable.;False;False;False;True;True;2026-04-15T09:00:36
38;45;Hombre;Tecnología / IT;6;Doctorado;Consultoría;3;ChatGPT;6;3;5;6;7;6;7;7;7;7;6;6;6;6;6;7;7;6;7;6;6;6;7;7;7;Es una forma rápida de encontrar información sin perder demasiado tiempo.;Puede haber errores si no se revisa lo que genera.;True;True;False;False;False;2026-04-15T09:00:37
39;47;Hombre;Comercial / Ventas / Marketing;6;Grado;Tecnología;4;Gemini;6;6;5;5;5;5;5;5;5;6;5;5;5;6;5;5;5;5;6;6;6;5;5;6;6;Me sirve para entender mejor algunos conceptos técnicos.;No siempre entiende bien lo que se le pregunta.;True;True;False;False;True;2026-04-15T09:00:38
40;29;Hombre;Comercial / Ventas / Marketing;6;Máster;Comercio / Retail;5;LMS con IA;7;6;7;6;5;5;6;6;5;5;6;5;6;6;5;5;5;7;4;4;7;7;5;6;6;Me ayuda a mantenerme al día en temas relacionados con mi trabajo.;Puede dar respuestas demasiado generales.;True;False;False;True;False;2026-04-15T09:00:39
41;27;Mujer;Dirección / Gestión;4;Grado;Consultoría;4;Gemini;6;5;5;5;6;6;6;5;5;6;5;5;5;6;5;5;6;6;6;5;5;4;5;5;4;A veces me da ideas o soluciones que no había considerado.;Existe el riesgo de confiar demasiado en lo que dice.;True;False;True;True;False;2026-04-15T09:00:40
42;24;Mujer;Recursos Humanos;0;Grado;Sanidad;5;Copilot;7;5;4;4;5;7;5;6;6;5;6;7;7;5;6;6;5;5;6;6;5;7;5;5;5;Es útil cuando necesito una explicación rápida sobre algún tema.;No sustituye la experiencia ni el conocimiento de los profesionales.;False;True;True;True;True;2026-04-15T09:00:41
43;34;Hombre;Comercial / Ventas / Marketing;6;Doctorado;Industria;5;LMS con IA;7;5;5;6;6;5;5;4;4;6;4;3;3;2;3;2;2;3;2;3;2;1;2;1;2;Me permite aprender cosas nuevas sin tener que hacer un curso largo.;En algunos casos la información se queda un poco superficial.;True;False;False;True;False;2026-04-15T09:00:42
44;56;Mujer;Formación y Desarrollo;6;Máster;Industria;5;LMS con IA;7;3;2;3;3;3;3;3;2;2;3;3;3;2;3;2;2;2;3;2;2;3;2;3;2;Facilita bastante la búsqueda de información.;Puede hacer que algunas personas investiguen menos por su cuenta.;False;False;True;True;False;2026-04-15T09:00:43
45;56;Hombre;Formación y Desarrollo;6;Máster;Industria;5;LMS con IA;4;6;5;5;6;4;5;4;4;5;4;4;5;4;5;4;4;3;3;4;3;4;4;4;4;Me ayuda a mejorar en algunas tareas del día a día.;Hay que tener cuidado con la información sensible de la empresa.;True;True;True;True;False;2026-04-15T09:00:44
46;39;Hombre;Tecnología / IT;6;Máster;Consultoría;5;Gemini;4;7;7;7;7;7;6;7;6;7;7;7;6;6;5;7;7;7;7;6;7;4;6;7;7;Actualización Constante (Reskilling y Upskilling) En un mercado laboral que cambia cada semana, la IA es el mejor radar para mantenerse vigente.  Identificación de brechas: Puede analizar las tendencias de tu industria y decirte qué habilidades te faltan para ascender o cambiar de sector.;"Gemini said Los principales riesgos y limitaciones del uso de la IA en la formación profesional incluyen las alucinaciones y desinformación (generación de datos falsos), el atrofiamiento del pensamiento crítico por dependencia cognitiva, la propagación de sesgos algorítmicos presentes en los datos de entrenamiento, la opacidad de la ""caja negra"" que dificulta entender los procesos lógicos, y las vulnerabilidades en cuanto a la privacidad y propiedad intelectual de la información compartida.";True;True;False;True;True;2026-04-15T09:00:45
47;24;Mujer;Formación y Desarrollo;0;Grado;Consultoría;5;ChatGPT;5;5;5;6;7;6;6;6;4;6;4;4;4;6;4;5;6;5;5;5;6;5;5;5;5;Que tiene respuesta que los demás no me pueden dar.;La fiabilidad ;True;False;False;False;False;2026-04-15T09:00:46
48;31;Mujer;Tecnología / IT;6;Formación Profesional;Tecnología;1;Gemini;5;6;5;6;6;6;5;5;4;4;4;4;3;5;5;5;6;5;5;5;5;2;1;7;7;Agilidad en respuesta y aumento de respuestas;Necesidad de contraste de respuestas ;False;False;False;False;False;2026-04-15T09:00:47
49;35;Hombre;Administración / Finanzas;6;Grado;Comercio / Retail;2;No utilizo IA;6;5;2;6;2;5;6;5;2;2;2;2;1;2;2;2;2;5;6;2;2;1;1;6;6;Me resulta más útil para aprender a resolver problemas o pulir el uso de herramientas con cuyo uso ya estoy familiarizado (p.ej. corregir fórmulas de Excel o aprender a utilizar fórmulas que ya conozco), no aprender a realizar tareas más complejas sin conocimiento previo.;Que la IA reemplace el pensamiento crítico y la resolución de problemas por cuenta propia, o en el caso concreto de la formación, que la IA sufra alucinaciones y proporcione información incorrecta a un nivel suficientemente sutil para pasar desapercibida y que se aprendan procedimientos o informaciones incorrectos.;False;True;True;False;False;2026-04-15T09:00:48
50;33;Mujer;Recursos Humanos;6;Máster;Servicios;1;ChatGPT;4;5;5;5;6;6;7;6;5;5;5;5;4;6;4;5;6;4;4;4;6;6;2;6;5;Inmediatez y adaptabilidad;Falta de verificación de la información ;True;False;False;False;False;2026-04-15T09:00:49
51;33;Hombre;Consultoría;2;Máster;Consultoría;5;ChatGPT;5;7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;5;6;7;2;4;7;7;Esencial;Dejar de formarse profesionalmente y no tener valoración crítica ante el problema;True;False;False;False;True;2026-04-15T09:00:50
52;34;Hombre;Tecnología / IT;6;Grado;Tecnología;5;ChatGPT;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;2;1;7;7;Aumento de velocidad 400%;Hay que tener una base antes. Actúa con una seguridad que o eres capaz de guiarla o te puede meter en lios;True;False;False;False;True;2026-04-15T09:00:51
53;32;Mujer;Consultoría;4;Máster;Consultoría;2;Otra;7;6;3;6;6;6;6;6;5;3;2;2;2;2;2;6;6;6;4;2;5;1;4;7;7;Rapidez a la hora de encontrar soluciones a ciertas consultas;Las respuestas de la IA no siempre son acertadas. Hay que verificar en distintas fuentes la información recibida ;False;False;False;False;True;2026-04-15T09:00:52
54;35;Hombre;Otro;4;Formación Profesional;Otro;1;No utilizo IA;7;4;5;5;4;5;6;5;5;3;3;6;3;6;5;5;6;3;4;4;4;1;7;4;7;Lo veo como una herramienta de apoyo pero no para depender de ella ;No contrastar la información que te da y darlo todo por bueno sin verificarlo ;False;False;False;False;False;2026-04-15T09:00:53
55;33;Mujer;Dirección / Gestión;4;Máster;Tecnología;4;ChatGPT;4;7;7;7;7;7;7;7;6;6;6;7;6;5;6;7;6;7;7;6;6;5;5;5;6;Rapidez en la búsqueda de información ;Falta de comprobacion;True;True;False;False;False;2026-04-15T09:00:54
56;32;Mujer;Tecnología / IT;6;Formación Profesional;Tecnología;4;ChatGPT;4;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;5;6;5;6;1;4;7;7;Gran ayuda a la hora de explicar un tema;Te ayuda en función de lo que ya sabe de ti. ;True;False;True;False;False;2026-04-15T09:00:55
57;33;Hombre;Tecnología / IT;6;Grado;Banca / Finanzas;4;ChatGPT;2;6;6;5;7;6;6;6;5;6;6;5;3;4;5;5;4;6;6;5;6;3;1;5;6;Poder atacar proyectos de forma más rápida y menor número de errores;Muchas veces el trabajo realizado no alcanza los estándares óptimos o forma de trabajar dentro de la empresa;True;False;False;False;False;2026-04-15T09:00:56
58;27;Mujer;Recursos Humanos;4;Máster;Consultoría;3;Otra;6;7;5;7;6;6;7;6;3;4;5;6;3;7;4;6;7;5;5;6;6;3;3;6;7;Adaptación de contenido y ritmo;Fiabilidad, sesgo de confirmación ;True;False;True;False;False;2026-04-15T09:00:57
59;26;Hombre;Tecnología / IT;6;Grado;Tecnología;3;ChatGPT;5;5;5;6;5;5;6;6;6;4;4;4;4;5;4;5;6;5;6;5;5;3;3;7;6;Es una herramienta que ayuda con problemas específicos y que se puede consultar en cualquier momento, siempre teniendo en cuenta que no es 100% fiable en todos los casos;Existen muchos sesgos y comportamientos extraños de la IA, a veces tiene alucinaciones y se inventa repuestas, entra en bucle o te da la razón sin sentido ninguno. Es una herramienta que te proporciona atajos y conocimiento directo, pero que muchas veces es poco fiable.;True;False;False;True;True;2026-04-15T09:00:58
60;50;Hombre;Tecnología / IT;6;Grado;Tecnología;4;ChatGPT;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;7;7;"Me resulta muy interesante porque es como tener un asistente al lado y te ayuda a la hora de enfrentarte a la ""página en banco"" sobre una primera idea. Después uno empieza a pensar más rápido y surgen las ideas.";Que te haga demasiado dependiente de ella o cuando no tengamos acceso a la misma. Nos han creado la necesidad y después será más difícil trabajar sin ella, pero antes no la teníamos.;True;False;False;False;False;2026-04-15T09:00:59
61;35;Hombre;Operaciones / Producción;6;Formación Profesional;Servicios;3;ChatGPT;5;6;6;6;6;3;6;5;3;6;3;3;5;3;5;2;7;2;3;3;6;1;2;7;7;Me facilita otros métodos de aprendizaje;No es del todo fiable;True;False;False;False;False;2026-04-15T09:01:00
62;44;Hombre;Tecnología / IT;0;Formación Profesional;Tecnología;5;Gemini;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;4;1;1;1;1;1;1;1;1;bunty;a;True;True;True;True;False;2026-04-15T09:01:01
63;39;Hombre;Operaciones / Producción;6;Doctorado;Servicios;3;Copilot;7;5;4;5;5;5;4;5;5;5;6;5;5;6;5;6;6;5;4;5;5;6;5;5;6;Me ayuda a aprender más rápido y a resolver dudas al momento.;Puede hacer que dependamos demasiado de la herramienta.;False;True;True;True;False;2026-04-15T09:01:02
64;33;Mujer;Formación y Desarrollo;4;Máster;Consultoría;4;LMS con IA;6;5;4;5;5;6;6;5;5;7;5;5;5;7;6;6;6;5;6;6;6;6;5;5;6;Es útil para entender conceptos difíciles de forma sencilla.;A veces la información no es del todo fiable.;False;False;True;True;False;2026-04-15T09:01:03
65;39;Mujer;Dirección / Gestión;6;Máster;Comercio / Retail;4;ChatGPT;7;4;4;4;4;6;5;5;4;5;4;5;4;7;4;4;5;7;5;5;5;4;4;5;4;Ahorra mucho tiempo en la búsqueda de información.;Puede reducir el pensamiento crítico si se usa mal.;True;False;True;False;False;2026-04-15T09:01:04
66;56;Hombre;Dirección / Gestión;6;Doctorado;Sanidad;3;Copilot;7;5;4;3;3;5;4;3;3;4;3;3;3;3;3;3;3;4;4;3;3;3;4;3;3;Permite personalizar el aprendizaje según mis necesidades.;Existe el riesgo de plagio en trabajos académicos.;False;True;True;False;True;2026-04-15T09:01:05
67;60;Hombre;Dirección / Gestión;6;Doctorado;Industria;5;Copilot;7;5;4;4;4;5;4;4;4;6;5;5;5;6;5;5;5;5;4;4;5;5;4;4;4;Me facilita ejemplos prácticos que mejoran la comprensión.;No siempre entiende bien el contexto de lo que se pide.;False;False;True;True;False;2026-04-15T09:01:06
68;20;Mujer;Administración / Finanzas;2;Grado;Industria;5;LMS con IA;7;6;7;7;7;6;7;7;7;7;7;7;7;7;6;6;6;7;6;5;5;7;6;6;6;Está disponible en cualquier momento, lo cual es muy cómodo.;Puede dar respuestas incorrectas con mucha seguridad.;True;True;True;True;False;2026-04-15T09:01:07
69;43;Hombre;Tecnología / IT;6;Máster;Servicios;5;Otra;7;5;6;5;5;7;6;6;6;5;6;6;6;7;6;6;6;6;5;5;5;6;6;6;6;Me ayuda a mejorar mis habilidades de escritura.;Falta de interacción humana en el aprendizaje.;True;True;True;True;True;2026-04-15T09:01:08
70;27;No binario;Tecnología / IT;6;Doctorado;Administración pública;5;ChatGPT;6;6;5;6;3;6;5;6;6;6;5;5;5;6;5;5;5;7;6;6;6;6;5;5;5;Sirve como apoyo para estudiar de manera más eficiente.;Puede fomentar el aprendizaje superficial.;True;False;True;True;False;2026-04-15T09:01:09
71;54;Hombre;Profesional independiente / Freelance;6;Doctorado;Comercio / Retail;5;LMS con IA;6;4;3;3;3;5;6;6;6;5;6;6;6;6;5;6;6;7;6;6;7;6;5;6;5;Sirve como apoyo para estudiar de manera más eficiente.;Puede fomentar el aprendizaje superficial.;False;False;False;True;False;2026-04-15T09:01:10
72;34;Mujer;Educación / Investigación;6;Doctorado;Banca / Finanzas;5;LMS con IA;7;5;6;5;5;4;4;5;5;6;5;5;5;6;5;5;5;6;5;5;6;5;6;6;6;Me da nuevas ideas que no había considerado antes.;No sustituye la experiencia de un profesor real.;True;True;True;True;False;2026-04-15T09:01:11
73;56;Hombre;Educación / Investigación;6;Doctorado;Servicios;5;LMS con IA;7;5;6;5;5;5;6;6;5;6;5;5;3;5;4;5;5;5;4;4;4;5;4;4;4;Facilita el acceso a información actualizada.;Puede generar información desactualizada.;False;False;True;True;True;2026-04-15T09:01:12
74;24;Hombre;Tecnología / IT;6;Grado;Banca / Finanzas;5;Otra;6;6;6;7;7;7;6;7;7;6;7;7;5;6;7;6;6;6;5;5;6;6;5;6;6;Mejora la organización del estudio.;Riesgo de perder habilidades básicas si se abusa de ella.;False;True;True;True;True;2026-04-15T09:01:13
