id_empleado;edad;genero;departamento;antiguedad_empresa;nivel_educativo;sector;frecuencia_uso_ia;herramienta_principal;prefiere_humano_vs_ia;AT1_rendimiento;AT2_facilita_aprendizaje;AT3_facilidad_uso;AT4_integracion_positiva;AE1_resolver_problemas;AE2_confianza_digital;AE3_uso_eficaz;AE4_seguridad_aplicacion;M1_estimulante;M2_aumenta_interes;M3_aporta_valor;M4_mayor_esfuerzo;E1_adaptacion;E2_feedback_util;E3_aplicable_trabajo;E4_aprendizaje_ritmo;D1_mejora_competencias;D2_preparado_retos;D3_amplia_habilidades;D4_aprendizaje_autonomo;C1_confio_sin_verificar;C2_dificil_sin_ia;C3_pensamiento_critico;C4_reflexiono_calidad;open_positive_experience;open_difficulties_and_training_needs;usa_chatgpt;usa_gemini;usa_copilot;usa_lms_ia;usa_otra_ia;survey_completed_at
14;30;Mujer;Operaciones / Producción;3–5 años;Máster;Consultoría;5 – Muy frecuentemente;ChatGPT;4 – Ni de acuerdo ni en desacuerdo ;5 – Algo de acuerdo;4 – Ni de acuerdo ni en desacuerdo;5 – Algo de acuerdo;5 – Algo de acuerdo;6 – De acuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;3 – Algo en desacuerdo;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;Buenos ;Dependencia ;True;False;False;False;False;2026-04-15T09:00:13
15;50;Hombre;Profesional independiente / Freelance;Más de 5 años;Grado;Industria;4 – Frecuentemente;ChatGPT;7 – Totalmente de acuerdo;6 – De acuerdo;5 – Algo de acuerdo;5 – Algo de acuerdo;5 – Algo de acuerdo;6 – De acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;Me ayuda como herramienta de aprendizaje eficaz.;ninguno ;True;True;True;True;False;2026-04-15T09:00:14
16;54;Hombre;Educación / Investigación;Más de 5 años;Doctorado;Sanidad;4 – Frecuentemente;Copilot;6 – De acuerdo;5 – Algo de acuerdo;6 – De acuerdo;6 – De acuerdo;6 – De acuerdo;5 – Algo de acuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;Eficaz como herramienta de apoyo ;Ninguno ;True;True;False;True;False;2026-04-15T09:00:15
17;25;Mujer;Educación / Investigación;Más de 5 años;Grado;Industria;3 – A veces;ChatGPT;6 – De acuerdo;5 – Algo de acuerdo;4 – Ni de acuerdo ni en desacuerdo;4 – Ni de acuerdo ni en desacuerdo;5 – Algo de acuerdo;7 – Totalmente de acuerdo;6 – De acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;Ahorra tiempo en tareas repetitivas;Posible información incorrecta;False;False;False;True;False;2026-04-15T09:00:16
18;20;Mujer;Comercial / Ventas / Marketing;Menos de 1 año;Grado;Servicios;5 – Muy frecuentemente;Copilot;3 – Algo en desacuerdo ;6 – De acuerdo;4 – Ni de acuerdo ni en desacuerdo;5 – Algo de acuerdo;6 – De acuerdo;6 – De acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;6 – De acuerdo ;5 – Algo de acuerdo ;7 – Totalmente de acuerdo;4 – Ni de acuerdo ni en desacuerdo ;6 – De acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;5 – Algo de acuerdo ;7 – Totalmente de acuerdo;3 – Algo en desacuerdo;6 – De acuerdo ;7 – Totalmente de acuerdo;Facilita la comprensión de temas complejos;Respuestas poco fiables;True;True;True;True;False;2026-04-15T09:00:17
19;35;Mujer;Dirección / Gestión;1–3 años;Máster;Industria;4 – Frecuentemente;LMS con IA;7 – Totalmente de acuerdo;5 – Algo de acuerdo;3 – Algo en desacuerdo ;6 – De acuerdo;4 – Ni de acuerdo ni en desacuerdo;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;5 – Algo de acuerdo ;Ofrece explicaciones personalizadas;Falta de pensamiento crítico;False;True;False;False;True;2026-04-15T09:00:18
20;19;Mujer;Recursos Humanos;Menos de 1 año;Grado;Sanidad;5 – Muy frecuentemente;Copilot;3 – Algo en desacuerdo ;6 – De acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;6 – De acuerdo;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;Permite aprender a mi propio ritmo;Dependencia excesiva de la herramienta;True;True;True;True;False;2026-04-15T09:00:19
21;37;Hombre;Educación / Investigación;3–5 años;Máster;Sanidad;2 – Rara vez;No utilizo IA;7 – Totalmente de acuerdo;2 – En desacuerdo ;3 – Algo en desacuerdo ;2 – En desacuerdo ;3 – Algo en desacuerdo ;2 – En desacuerdo;3 – Algo en desacuerdo;2 – En desacuerdo;2 – En desacuerdo;1 – Totalmente en desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;3 – Algo en desacuerdo;3 – Algo en desacuerdo;2 – En desacuerdo;2 – En desacuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;3 – Algo en desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;ninguno ;Riesgo de plagio académico;False;False;False;False;False;2026-04-15T09:00:20
22;50;Hombre;Tecnología / IT;Más de 5 años;Doctorado;Tecnología;5 – Muy frecuentemente;Copilot;7 – Totalmente de acuerdo;6 – De acuerdo;6 – De acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;6 – De acuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;2 – En desacuerdo;6 – De acuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;Ayuda a generar ideas rápidamente;Uso poco ético por parte del alumnado;True;True;True;True;False;2026-04-15T09:00:21
23;67;Mujer;Comercial / Ventas / Marketing;Más de 5 años;Formación Profesional;Otro;3 – A veces;No utilizo IA;5 – Algo de acuerdo;6 – De acuerdo;5 – Algo de acuerdo;3 – Algo en desacuerdo ;5 – Algo de acuerdo;6 – De acuerdo ;5 – Algo de acuerdo ;3 – Algo en desacuerdo;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;1 – Totalmente en desacuerdo;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;Puedo ahorrar mucho tiempo utilizando AI en varios procesos de trabajo pero pienso que siempre tengo que revisar los resultados.;No se puede fiarse 100% de IA actual por lo que siempre hace falta revision humana.;True;False;False;False;False;2026-04-15T09:00:22
24;33;Hombre;Tecnología / IT;Más de 5 años;Doctorado;Servicios;5 – Muy frecuentemente;Copilot;7 – Totalmente de acuerdo;5 – Algo de acuerdo;5 – Algo de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;Proporciona ejemplos prácticos;Pérdida de habilidades de investigación;False;True;True;False;False;2026-04-15T09:00:23
25;43;Hombre;Formación y Desarrollo;Más de 5 años;Doctorado;Industria;3 – A veces;Gemini;6 – De acuerdo;5 – Algo de acuerdo;5 – Algo de acuerdo;4 – Ni de acuerdo ni en desacuerdo;4 – Ni de acuerdo ni en desacuerdo;5 – Algo de acuerdo ;3 – Algo en desacuerdo;3 – Algo en desacuerdo;3 – Algo en desacuerdo;5 – Algo de acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;Refuerza conocimientos previos;Reducción del esfuerzo personal;False;True;True;False;False;2026-04-15T09:00:24
26;53;Mujer;Consultoría;Más de 5 años;Doctorado;Educación;3 – A veces;Copilot;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;2 – En desacuerdo ;6 – De acuerdo;6 – De acuerdo;4 – Ni de acuerdo ni en desacuerdo ;6 – De acuerdo ;6 – De acuerdo ;3 – Algo en desacuerdo;3 – Algo en desacuerdo;2 – En desacuerdo;6 – De acuerdo ;2 – En desacuerdo;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;2 – En desacuerdo;4 – Ni de acuerdo ni en desacuerdo ;1 – Totalmente en desacuerdo;2 – En desacuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;6 – De acuerdo ;6 – De acuerdo ;Eficiencia;Errores, falta de desarrollo cognitivo y pensamiento crítico ;True;False;False;False;False;2026-04-15T09:00:25
